DIA,Encuentro,Location,Ciudad EEUU,Estado,TOTAL,Mexico,Extranjeros,Guatemala,Honduras,El Salvador,República Bolivariana de Venezuela,Cuba,Colombia,Nicaragua,China,Ecuador,Haití,India,Brasil,Estado Plurinacional de Bolivia,Bélgica,Perú,Canadá,España,Rumania,Afganistán,Turquía,Federación De Rusia,República Dominicana,Bangladesh,Uzbekistán,Pakistán,Vietnam,Camerún,Trinidad y Tobago,Belice,República Federal Democrática de Nepal,Etiopia,Argentina,Azerbaiyán,República Popular Democrática de Corea,República de Corea,Armenia,Hungría,Reino Unido de Gran Bretaña e Irlanda del Norte,Marruecos,Chile,República Islámica del Irán,República Árabe de Siria,Kosovo,Congo,Nueva Zelandia,Angola,Filipinas,Kazajstan,Ghana,Polonia,Togo,Georgia,Italia,Alemania,Kirguistán,Croacia,Sudán,Sudáfrica,Nigeria,Taiwan (Provincia de China),Panamá,Maldivas,Líbano,Egipto,Uruguay,Iraq,Jordania,Francia,Islas Norfolk,Benin,Somalia,Japón,Ucrania,Jamaica,Fiji,Eslovaquia,Suecia,Belarús,Zimbabwe,República de Moldova,Irlanda,Indonesia,Portugal,Yemen,Suiza,Uganda,Kenia,Otros
03/10/2024,USBP,Yuma,Arizona,Sonora,99,46,53,11,1,3,2,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
03/10/2024,OFO,El Paso,Texas,Chihuahua,19,17,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2024,OFO,Laredo,Texas,Tamaulipas,29,23,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
03/10/2024,OFO,San Diego,California,Baja California,25,22,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2024,OFO,Tucson,Arizona,Sonora,31,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03/10/2024,CBP ONE,El Paso,Texas,Chihuahua,233,39,194,3,14,1,84,51,15,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
03/10/2024,CBP ONE,Laredo,Texas,Tamaulipas,701,108,593,11,71,23,211,111,33,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
03/10/2024,CBP ONE,San Diego,California,Baja California,352,53,299,6,21,11,147,58,17,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
03/10/2024,CBP ONE,Tucson,Arizona,Sonora,100,12,88,1,2,0,46,20,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
04/10/2024,USBP,Big Bend,Texas,Chihuahua,12,9,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
