DIA,ESTADO / O.R.,MEXICANOS REPATRIADOS,ADULTOS,MENORES,NNA NO ACOMPAÑADOS,NNA ACOMPAÑADOS,TERRESTRES,VUELOS PRIM,,,,,,
02/12/2024,TAMAULIPAS,252,242,10,7,3,252,0,,,,,,
03/12/2024,BAJA CALIFORNIA,199,186,13,5,8,199,0,,,,,,
03/12/2024,CHIHUAHUA,78,57,21,15,6,78,0,,,,,,
03/12/2024,COAHUILA,7,3,4,4,0,7,0,,,,,,
03/12/2024,ESTADO DE MEXICO,515,487,28,0,28,0,515,,,,,,
03/12/2024,SONORA,108,85,23,2,21,108,0,,,,,,
03/12/2024,TAMAULIPAS,156,141,15,12,3,156,0,,,,,,
04/12/2024,BAJA CALIFORNIA,97,87,10,3,7,97,0,,,,,,
04/12/2024,CHIHUAHUA,55,39,16,9,7,55,0,,,,,,
04/12/2024,COAHUILA,74,71,3,3,0,74,0,,,,,,
04/12/2024,SONORA,128,100,28,4,24,128,0,,,,,,
04/12/2024,TAMAULIPAS,164,150,14,10,4,164,0,,,,,,
05/12/2024,BAJA CALIFORNIA,115,105,10,0,10,115,0,,,,,,
05/12/2024,CHIHUAHUA,25,14,11,8,3,25,0,,,,,,
05/12/2024,COAHUILA,17,15,2,2,0,17,0,,,,,,
05/12/2024,SONORA,165,123,42,10,32,165,0,,,,,,
05/12/2024,TAMAULIPAS,174,164,10,8,2,174,0,,,,,,
06/12/2024,BAJA CALIFORNIA,131,114,17,6,11,131,0,,,,,,
06/12/2024,CHIHUAHUA,41,27,14,12,2,41,0,,,,,,
06/12/2024,COAHUILA,10,9,1,1,0,10,0,,,,,,
06/12/2024,SONORA,146,118,28,5,23,146,0,,,,,,
06/12/2024,TAMAULIPAS,187,177,10,7,3,187,0,,,,,,
07/12/2024,BAJA CALIFORNIA,99,83,16,5,11,99,0,,,,,,
07/12/2024,CHIHUAHUA,49,32,17,13,4,49,0,,,,,,
07/12/2024,COAHUILA,6,4,2,2,0,6,0,,,,,,
07/12/2024,SONORA,171,153,18,1,17,171,0,,,,,,
07/12/2024,TAMAULIPAS,72,65,7,6,1,72,0,,,,,,
08/12/2024,BAJA CALIFORNIA,73,68,5,4,1,73,0,,,,,,
08/12/2024,CHIHUAHUA,52,33,19,13,6,52,0,,,,,,
08/12/2024,COAHUILA,1,0,1,1,0,1,0,,,,,,
08/12/2024,SONORA,49,29,20,5,15,49,0,,,,,,
08/12/2024,TAMAULIPAS,30,19,11,11,0,30,0,,,,,,
09/12/2024,BAJA CALIFORNIA,114,103,11,5,6,114,0,,,,,,
09/12/2024,CHIHUAHUA,46,30,16,14,2,46,0,,,,,,
09/12/2024,COAHUILA,15,13,2,0,2,15,0,,,,,,
09/12/2024,SONORA,165,146,19,2,17,165,0,,,,,,
09/12/2024,TAMAULIPAS,164,160,4,4,0,164,0,,,,,,
10/12/2024,BAJA CALIFORNIA,142,136,6,1,5,142,0,,,,,,
10/12/2024,CHIHUAHUA,68,54,14,7,7,68,0,,,,,,
10/12/2024,COAHUILA,19,14,5,4,1,19,0,,,,,,
10/12/2024,ESTADO DE MEXICO,664,644,20,0,20,0,664,,,,,,
10/12/2024,SONORA,169,138,31,7,24,169,0,,,,,,
10/12/2024,TAMAULIPAS,203,191,12,10,2,203,0,,,,,,
11/12/2024,BAJA CALIFORNIA,96,84,12,3,9,96,0,,,,,,
11/12/2024,CHIHUAHUA,81,62,19,16,3,81,0,,,,,,
11/12/2024,COAHUILA,16,13,3,3,0,16,0,,,,,,
11/12/2024,ESTADO DE MEXICO,6,6,0,0,0,0,6,,,,,,
11/12/2024,SONORA,129,99,30,5,25,129,0,,,,,,
