DIA,ESTADO / O.R.,NACIONALIDAD,RETORNADOS A SU PAÍS,DEPORTADOS,RETORNOS ASISTIDOS
10/01/2025,Tabasco,Honduras,11,0,11
11/01/2025,Ciudad de México,Honduras,2,0,2
12/01/2025,Chiapas,Guatemala,28,0,28
12/01/2025,Chiapas,Honduras,27,0,27
13/01/2025,Nuevo León,República Bolivariana de Venezuela,1,0,1
13/01/2025,Oaxaca,Colombia,2,2,0
13/01/2025,Quintana Roo,Estados Unidos de América,1,1,0
13/01/2025,Tabasco,Guatemala,18,4,14
14/01/2025,Ciudad de México,Honduras,1,1,0
14/01/2025,Nuevo León,Afganistán,3,0,3
14/01/2025,Nuevo León,Colombia,2,0,2
14/01/2025,Nuevo León,Ecuador,3,0,3
14/01/2025,Nuevo León,El Salvador,1,0,1
14/01/2025,Nuevo León,Guatemala,4,0,4
14/01/2025,Nuevo León,Honduras,8,0,8
14/01/2025,Nuevo León,Nicaragua,1,0,1
14/01/2025,Nuevo León,República Bolivariana de Venezuela,9,0,9
14/01/2025,Nuevo León,República Dominicana,1,0,1
14/01/2025,Nuevo León,Uzbekistán,1,0,1
14/01/2025,Oaxaca,Colombia,1,1,0
14/01/2025,Tabasco,Honduras,11,0,11
15/01/2025,Chiapas,Guatemala,24,0,24
15/01/2025,Chiapas,Honduras,55,0,55
15/01/2025,Ciudad de México,Colombia,2,0,2
15/01/2025,Ciudad de México,Estados Unidos de América,1,1,0
15/01/2025,Ciudad de México,Honduras,1,0,1
15/01/2025,Nayarit,Estados Unidos de América,1,1,0
15/01/2025,Nuevo León,Afganistán,1,0,1
15/01/2025,Nuevo León,Brasil,1,0,1
15/01/2025,Nuevo León,Colombia,8,0,8
15/01/2025,Nuevo León,Cuba,1,0,1
15/01/2025,Nuevo León,Dominica,2,0,2
15/01/2025,Nuevo León,Ecuador,6,0,6
15/01/2025,Nuevo León,El Salvador,3,0,3
15/01/2025,Nuevo León,Estados Unidos de América,1,0,1
15/01/2025,Nuevo León,Guatemala,13,0,13
15/01/2025,Nuevo León,Honduras,11,0,11
15/01/2025,Nuevo León,Nicaragua,3,0,3
15/01/2025,Nuevo León,Perú,2,0,2
15/01/2025,Nuevo León,República Bolivariana de Venezuela,26,0,26
15/01/2025,Veracruz,El Salvador,1,0,1
16/01/2025,Chiapas,Guatemala,6,0,6
16/01/2025,Chiapas,Honduras,24,0,24
16/01/2025,Ciudad de México,El Salvador,1,0,1
16/01/2025,Ciudad de México,Guatemala,2,0,2
16/01/2025,Nuevo León,El Salvador,1,0,1
16/01/2025,Nuevo León,Estados Unidos de América,1,0,1
16/01/2025,Nuevo León,Honduras,1,0,1
16/01/2025,Nuevo León,Nicaragua,1,0,1
16/01/2025,Nuevo León,República Bolivariana de Venezuela,1,0,1
16/01/2025,Tabasco,El Salvador,1,0,1
17/01/2025,Chiapas,Guatemala,2,0,2
